FECHA_CORTE;UUID;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;NIVEL_ACADEMICO;PERIODO_EGRESO;FECHA_EGRESO;ESCUELA_PROFESIONAL;MODALIDAD;SEDE
2025-05-23;8c753b23d41283c44e0fffb32ffd1cba;ICA;CHINCHA;PUEBLO NUEVO;ICA, CHINCHA, PUEBLO NUEVO;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-05-24;9a7b6d0166b032c34dcb38bd9700245c;LIMA;CAÑETE;QUILMANA;LIMA, CAÑETE, QUILMANA;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-05-25;e357bf0c9e25f46884bad11b8c2e4de3;LIMA;CAÑETE;IMPERIAL;LIMA, CAÑETE, IMPERIAL;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-05-26;c622f62aaf133dd2342f205285112b4b;LIMA;CAÑETE;IMPERIAL;LIMA, CAÑETE, IMPERIAL;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-05-27;70264d8c73f9a43a9f4bc9f6426f05bf;LIMA;CAÑETE;IMPERIAL;LIMA, CAÑETE, IMPERIAL;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-05-28;d1697fb789dd69b1b5aec46643b1ce9a;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;LIMA, CAÑETE, SAN VICENTE DE CAÑETE;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-05-29;295b968b5aeaddd8c408cbffcc193c68;LIMA;CAÑETE;IMPERIAL;LIMA, CAÑETE, IMPERIAL;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-05-30;fd2ebcc74f382989da244aa7ad849e6d;LIMA;CAÑETE;PACARAN;LIMA, CAÑETE, PACARAN;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-05-31;663f7c13990f49ef685056b65029593e;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;LIMA, CAÑETE, SAN VICENTE DE CAÑETE;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-01;9f5d670d56dfac7db4b276b297f02fe0;LIMA;CAÑETE;MALA;LIMA, CAÑETE, MALA;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-02;b478aeaf9491e935f94498dfec2550ae;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;LIMA, CAÑETE, SAN VICENTE DE CAÑETE;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-03;df165891dbb2150c8d1161df7607205f;LIMA;CAÑETE;IMPERIAL;LIMA, CAÑETE, IMPERIAL;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-04;2313163e72c796e754e0215e97ce609e;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;LIMA, CAÑETE, SAN VICENTE DE CAÑETE;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-05;e9b35c279feeb2658c111c1f5e80dac4;LIMA;CAÑETE;IMPERIAL;LIMA, CAÑETE, IMPERIAL;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-06;d949ff8c53ce101fbad09cc84e4c2df9;ICA;CHINCHA;CHINCHA ALTA;ICA, CHINCHA, CHINCHA ALTA;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-07;9ea29cf0dd5bc2690ac1838a30e80387;LIMA;CAÑETE;MALA;LIMA, CAÑETE, MALA;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-08;a1ca4a95eb670a0590757ec9a2c71564;LIMA;CAÑETE;IMPERIAL;LIMA, CAÑETE, IMPERIAL;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-09;528ad1b9bca9de3c500a5a07f6543d6c;LIMA;CAÑETE;IMPERIAL;LIMA, CAÑETE, IMPERIAL;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-10;c0ae37f2005cec8c9ce950fea2d953f6;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;LIMA, CAÑETE, SAN VICENTE DE CAÑETE;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-11;765c2e115d5fcb6e285abfe7b9bf9732;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;LIMA, CAÑETE, SAN VICENTE DE CAÑETE;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-12;ad89eddd88af67a5c192f9cbe9318924;LIMA;CAÑETE;SAN LUIS;LIMA, CAÑETE, SAN LUIS;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-13;0c52d648cbc0013b01c7d81c6154b8e0;ICA;CHINCHA;PUEBLO NUEVO;ICA, CHINCHA, PUEBLO NUEVO;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
2025-06-14;8f36643c3e08a8a6fd14bb07148b7a33;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;LIMA, CAÑETE, SAN VICENTE DE CAÑETE;EGRESADO;2024-2;10/1/2025;ADMINISTRACIÓN;PRESENCIAL;SEDE FUNDO SAN LUIS
